INPUT — CORTES (Ventas),,,,,,,,,,,,,,,,
Cargá acá las ventas diarias. No edites DB/CALC.,,,,,,,,,,,,,,,,
Regla: Venta neta negocio = Total cobrado - Propina (propina no cuenta como ingreso del negocio).,,,,,,,,,,,,,,,,
CARGA CORTES DIARIOS,,,,,,,,,,,,,,,,
Fecha,Cliente,Staff,Servicio,Moneda,Total cobrado,Propina,Medio de pago,Notas,Venta neta negocio,TC aplicado,Total MXN,Propina MXN,Neto MXN,Mes,Semana,Quincena
02-ene-2026,Walk in,FLOR,Extras,MXN," $100,00",,Efectivo,," $100,00",1," $100,00"," $0,00"," $100,00",2026-01,1,2026-01-Q1
02-ene-2026,Walk in,FANNY,Kapping Gel,MXN," $242,00"," $32,00",Tarjeta,," $210,00",1," $242,00"," $32,00"," $210,00",2026-01,1,2026-01-Q1
02-ene-2026,liz,KAREN RECEPCION,Facial,MXN," $1.054,00"," $70,00",Tarjeta,," $984,00",1," $1.054,00"," $70,00"," $984,00",2026-01,1,2026-01-Q1
02-ene-2026,liz,FLOR,Pies Gel ,MXN," $624,00"," $70,00",Tarjeta,," $554,00",1," $624,00"," $70,00"," $554,00",2026-01,1,2026-01-Q1
02-ene-2026,liz,FANNY,Manos Gel,MXN," $620,00"," $70,00",Tarjeta,," $550,00",1," $620,00"," $70,00"," $550,00",2026-01,1,2026-01-Q1
02-ene-2026,walk in,FANNY,Kapping Gel,MXN," $105,00",,Tarjeta,," $105,00",1," $105,00"," $0,00"," $105,00",2026-01,1,2026-01-Q1
02-ene-2026,sabina ,FANNY,Pies Gel ,MXN," $550,00",,Efectivo,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,1,2026-01-Q1
02-ene-2026,sabina ,FANNY,Manos Gel,MXN," $550,00",,Efectivo,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,1,2026-01-Q1
02-ene-2026,marissa,FLOR,Extras,MXN," $100,00",,Tarjeta,," $100,00",1," $100,00"," $0,00"," $100,00",2026-01,1,2026-01-Q1
02-ene-2026,marissa,FLOR,Manicura Spa,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,1,2026-01-Q1
02-ene-2026,marissa,FLOR,Pies Gel ,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,1,2026-01-Q1
