INPUT — GASTOS,,,,,,,,,,,,,,,,,,,,,,
Cargá acá todos los gastos del año (una sola tabla).,,,,,,,,,,,,,,,,,,,,,,
Tip: cargá TODO el año acá. Categorías y medios de pago se gestionan en CONFIG.,,,,,,,,,,,,,,,,,,,,,,
CARGA GASTOS DIARIOS,,,,,,,,,,"779.507,53",,,,,,,,,,,,
Fecha,Categoría,Subcategoría,Proveedor/Detalle,Descripción,Moneda,Importe,Medio de pago,Notas,TC aplicado,Importe MXN,Mes,Semana,Quincena,,,,,,,,,
02-ene-2026,Sueldos/Comisiones,,,comision concierge ,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-01,1,2026-01-Q1,,,,,,,,,
03-ene-2026,Sueldos/Comisiones,,Fanny,Fanny corte quincena,MXN," $13.557,00",Tarjeta,,"1,00","13.557,00",2026-01,1,2026-01-Q1,,,,,,,,,
03-ene-2026,Sueldos/Comisiones,,Flor,Flor corte quincena,MXN," $16.960,00",Tarjeta,,"1,00","16.960,00",2026-01,1,2026-01-Q1,,,,,,,,,
03-ene-2026,Retiros -Mariana,,Maru,maru gastos miami,MXN," $3.600,00",Tarjeta,,"1,00","3.600,00",2026-01,1,2026-01-Q1,,,,,,,,,
04-ene-2026,Productos ,,amazon,amazon pedido,MXN," $360,00",Tarjeta,,"1,00","360,00",2026-01,1,2026-01-Q1,,,,,,,,,
04-ene-2026,Retiros -Mariana,,Maru,maru gastos miami,MXN," $1.500,00",Tarjeta,,"1,00","1.500,00",2026-01,1,2026-01-Q1,,,,,,,,,
05-ene-2026,Retiros -Mariana,,Maru,maru gastos miami,MXN," $5.700,00",Tarjeta,,"1,00","5.700,00",2026-01,2,2026-01-Q1,,,,,,,,,
05-ene-2026,Renta,,,renta local,MXN," $17.349,00",Tarjeta,,"1,00","17.349,00",2026-01,2,2026-01-Q1,,,,,,,,,
05-ene-2026,Sueldos/Comisiones,,Karen,karen sueldo y comision quincena,MXN," $8.888,00",Tarjeta,,"1,00","8.888,00",2026-01,2,2026-01-Q1,,,,,,,,,
07-ene-2026,Productos ,,amazon ,amazon pedido,MXN," $379,00",Tarjeta,,"1,00","379,00",2026-01,2,2026-01-Q1,,,,,,,,,
07-ene-2026,Productos ,,amazon ,amazon pedido,MXN," $200,00",Tarjeta,,"1,00","200,00",2026-01,2,2026-01-Q1,,,,,,,,,
08-ene-2026,Productos ,,,mercado libre,MXN," $1.522,00",Tarjeta,,"1,00","1.522,00",2026-01,2,2026-01-Q1,,,,,,,,,
08-ene-2026,Productos ,,probell,"base, top, 3 rubber, 1 base regular",MXN," $1.495,00",Tarjeta,,"1,00","1.495,00",2026-01,2,2026-01-Q1,,,,,,,,,
08-ene-2026,Gastos Operativos,,chedraui,,MXN," $840,00",Tarjeta,,"1,00","840,00",2026-01,2,2026-01-Q1,,,,,,,,,
10-ene-2026,,,,cambio tarjeta a efectivo,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-01,2,2026-01-Q1,,,,,,,,,
